theta_meta,alpha_meta,theta_gads,alpha_gads,r2_train,r2_valid,r2_test,is_baseline
0.5,1.2,0.2,1.0,0.884989738033636,0.9201778812182799,0.834965232872756,False
0.5,1.2,0.3,1.0,0.8849036274530268,0.9201745311812849,0.8347434927854248,False
0.5,1.2,0.1,1.0,0.8850906678451309,0.9201561255186471,0.8352099395188101,False
0.4,1.2,0.2,1.0,0.8850593908868045,0.9201448574726867,0.8351585321435533,False
0.3,1.2,0.2,1.0,0.8851206542779766,0.9201442385748714,0.8352849272410713,False
0.4,1.2,0.3,1.0,0.884974353035451,0.9201403403991554,0.8349394688899037,False
0.3,1.2,0.3,1.0,0.8850362853465797,0.9201395210815564,0.8350670512265763,False
0.4,1.2,0.1,1.0,0.8851591226510527,0.9201235416134003,0.8354006070737374,False
0.3,1.2,0.1,1.0,0.8852194962216692,0.9201226415581162,0.8355256954782548,False
0.5,1.0,0.2,1.0,0.8848715453628138,0.9200969939149557,0.834751259503317,False
0.5,1.0,0.3,1.0,0.8847831397573988,0.9200936699456699,0.8345254247182503,False
0.5,1.0,0.1,1.0,0.884974720141089,0.9200758839070902,0.8350001438873271,False
0.4,1.0,0.2,1.0,0.8849384589139212,0.9200605375146765,0.8349419347693586,False
0.4,1.0,0.3,1.0,0.8848512271527518,0.92005562664898,0.8347189466408163,False
0.3,1.0,0.2,1.0,0.8850012250195315,0.9200488006564275,0.835083477516132,False
0.3,1.0,0.3,1.0,0.8849148608114443,0.9200432774452915,0.8348620551162114,True
0.4,1.0,0.1,1.0,0.88504035275712,0.9200400833572719,0.8351879863822261,False
0.3,1.0,0.1,1.0,0.885102056088049,0.9200283132103851,0.8353278262992411,False
0.5,0.8,0.2,1.0,0.884743583099955,0.9200141239654374,0.8344881089233169,False
0.5,0.8,0.3,1.0,0.8846522589032789,0.9200113110870629,0.8342570602514263,False
0.5,0.8,0.1,1.0,0.8848496052755166,0.9199936771943789,0.8347423229353209,False
0.5,1.2,0.2,1.3,0.8847937891024347,0.9199841178714063,0.8348917537395434,False
0.5,1.2,0.1,1.3,0.8849099879924078,0.9199781953408749,0.8351524108126194,False
0.4,0.8,0.2,1.0,0.8848030008927482,0.9199780568352816,0.8346713290769094,False
0.4,0.8,0.3,1.0,0.8847129561457883,0.9199731443636467,0.8344433641181414,False
0.4,0.8,0.1,1.0,0.8849076664452591,0.9199585384825683,0.8349224400764739,False
0.3,0.8,0.2,1.0,0.8848645339457931,0.919955276257859,0.8348240623004122,False
0.5,1.2,0.3,1.3,0.8846870066407518,0.919954878582462,0.8346469588469712,False
0.4,1.2,0.2,1.3,0.8848652103526748,0.9199494327245241,0.8350872237386846,False
0.3,1.2,0.2,1.3,0.8849287999702106,0.9199492867456471,0.8352156331095706,False
0.3,0.8,0.3,1.0,0.8847755821682706,0.9199491424754329,0.8345980646037925,False
0.4,1.2,0.1,1.3,0.8849802851775981,0.9199436244505148,0.8353451513667929,False
0.3,1.2,0.1,1.3,0.885043002755982,0.919942891549337,0.8354721364742466,False
0.3,0.8,0.1,1.0,0.8849679519528704,0.9199360801358539,0.83507304485322,False
0.4,1.2,0.3,1.3,0.8847595106394794,0.9199191535934685,0.834845357540137,False
0.3,1.2,0.3,1.3,0.8848237964897444,0.9199189367551774,0.8349751707059377,False
0.5,1.0,0.2,1.3,0.8846712080066597,0.9199010157565816,0.8346778312136022,False
0.5,1.0,0.1,1.3,0.8847897121596986,0.9198960339708235,0.8349429283164215,False
0.5,1.2,0.1,1.6,0.8847815232955102,0.9198896193702406,0.8351356981163414,False
0.5,1.2,0.2,1.6,0.8846587605915309,0.9198830307885719,0.8348670425335957,False
0.5,1.0,0.3,1.3,0.8845619828607485,0.9198715403518225,0.8344285345730615,False
0.4,1.0,0.2,1.3,0.8847402222863641,0.919862552383205,0.8348708601336253,False
0.4,1.0,0.1,1.3,0.8848575099456848,0.9198578677839695,0.8351330233066369,False
0.4,1.2,0.1,1.6,0.8848532552731491,0.9198528867272728,0.8353297317452267,False
0.3,1.2,0.1,1.6,0.8849177337774845,0.9198517203433575,0.8354576660054474,False
0.3,1.0,0.2,1.3,0.8848055119459557,0.9198508054488534,0.8350145817963341,False
0.4,1.2,0.2,1.6,0.8847314731172025,0.9198465195742597,0.8350637281059868,False
0.3,1.2,0.2,1.6,0.8847967245252829,0.9198462277961705,0.8351930547287199,False
0.3,1.0,0.1,1.3,0.8849217561880004,0.9198457494211189,0.8352749108854317,False
0.5,1.2,0.3,1.6,0.8845410833296514,0.9198365886221297,0.8346014891892742,False
0.4,1.0,0.3,1.3,0.8846321918642936,0.9198316344167426,0.8346246802800015,False
0.3,1.0,0.3,1.3,0.8846983852788024,0.919819421613644,0.8347702180515311,False
0.5,0.8,0.2,1.3,0.8845375660723988,0.9198158664058271,0.8344142081853669,False
0.5,0.8,0.1,1.3,0.8846590075670755,0.9198120197532791,0.8346850238983659,False
0.5,1.0,0.1,1.6,0.884657663594212,0.9198066007403458,0.8349265990167792,False
0.4,1.2,0.3,1.6,0.8846147868601167,0.9197992328235273,0.8348011778365682,False
0.3,1.2,0.3,1.6,0.8846806672654182,0.9197990092920861,0.8349320095760977,False
0.5,1.0,0.2,1.6,0.8845326659597064,0.9197988724344152,0.8346534504929823,False
0.5,0.8,0.3,1.3,0.884425238059149,0.9197865617778408,0.8341591208314423,False
0.4,0.8,0.2,1.3,0.8845994051477222,0.919777264752639,0.8346000995046143,False
0.4,0.8,0.1,1.3,0.8847195434633263,0.9197739529283415,0.8348677145794441,False
0.4,1.0,0.1,1.6,0.8847271700738071,0.9197658927751998,0.8351181298060502,False
0.4,1.0,0.2,1.6,0.8846032507102017,0.9197582345367168,0.8348478337932523,False
0.3,0.8,0.2,1.3,0.8846637400949913,0.9197537273748119,0.8347551164308216,False
0.3,1.0,0.1,1.6,0.8847933738597765,0.9197528772389909,0.8352611262926996,False
0.5,1.0,0.3,1.6,0.8844125864805841,0.9197520323072441,0.8343831540380549,False
0.3,0.8,0.1,1.3,0.8847826507522321,0.9197503507984414,0.835020461594356,False
0.4,0.8,0.3,1.3,0.8844883836672903,0.9197460200467197,0.8343483797116357,False
0.3,1.0,0.2,1.6,0.8846703943719024,0.9197459109260749,0.8349926320075637,False
0.5,0.8,0.1,1.6,0.8845223216839081,0.9197221090723529,0.8346688186462061,False
0.3,0.8,0.3,1.3,0.8845538546166387,0.9197214296537538,0.834505648761176,False
0.5,0.8,0.2,1.6,0.8843944658922208,0.9197129017891827,0.8343898512791305,False
0.4,1.0,0.3,1.6,0.8844842768986005,0.9197101719654689,0.8345807355174937,False
0.3,1.0,0.3,1.6,0.8845522552646721,0.9196975500224405,0.8347274632784814,False
0.4,0.8,0.1,1.6,0.8845848312308292,0.9196809748699957,0.83485321281943,False
0.4,0.8,0.2,1.6,0.8844581495585787,0.9196716357895831,0.8345773563139671,False
0.5,0.8,0.3,1.6,0.8842713352203498,0.9196659976146677,0.8341134224529068,False
0.3,0.8,0.1,1.6,0.8846501591952706,0.9196557634142221,0.8350071873196195,False
0.3,0.8,0.2,1.6,0.8845245978966132,0.9196468597409456,0.8347335658382404,False
0.4,0.8,0.3,1.6,0.8843362389712736,0.9196230388066492,0.8343043783503981,False
0.3,0.8,0.3,1.6,0.8844037504461928,0.9195974171829944,0.8344629667792316,False
